,a1,a2,a3,agency,h2,h3,h4,h5,suburb,t1,t2,t3,t4,u1,u2,u3,u4
0,,,,Ray White,413442.3333333333,499751.6176470588,592733.3333333334,1120500.0,Pakenham,,450000.0,491750.0,,,,403333.3333333333,
1,,,,Barry Plant,390000.0,497537.02777777775,564862.6984126985,792000.0,Pakenham,,,,,,378000.0,,
2,,,,None,,486750.0,495000.0,,Pakenham,,,,,,,,
3,,,,hockingstuart,,492750.0,580000.0,,Pakenham,,,,,,,,
4,,,,Stockdale & Leggo,365000.0,491727.2727272727,565785.0,,Pakenham,,,478000.0,,,,,
5,,,,Nelson Alexander,,,,,Pakenham,,,,,,,,
6,,,,Harcourts,402500.0,502068.115942029,569365.9523809524,697000.0,Pakenham,,,,,,358800.0,420000.0,
7,,,,Buxton,,,,,Pakenham,,,,,,,,
8,,,,LJ Hooker,365500.0,476397.4358974359,572040.0,505000.0,Pakenham,,373750.0,559000.0,,,374000.0,422200.0,
9,,,,Jellis Craig,,,,,Pakenham,,,,,,,,
10,,,,Biggin & Scott,,512500.0,588714.2857142857,560000.0,Pakenham,,,,,,,,
11,,,,OBrien Real Estate,450000.0,504795.8333333333,609420.0,687500.0,Pakenham,,,471333.3333333333,,,376850.0,439600.0,
12,,,,Fletchers,,,,,Pakenham,,,,,,,,
13,,,,Eview Group,,,636000.0,,Pakenham,,,,,,,,
14,,,,Raine & Horne,,,,,Pakenham,,,,,,,,
15,,,,Woodards,,,,,Pakenham,,,,,,,,
16,,,,McGrath,,,,,Pakenham,,,,,,,,
17,,,,Marshall White,,,,,Pakenham,,,,,,,,
18,,,,Hodges,,470000.0,,,Pakenham,,,,,,,,
19,,,,Jellis Craig & Company Pty Ltd,,,,,Pakenham,,,,,,,,
20,,,,Noel Jones,,,,,Pakenham,,,,,,,,
21,,,,RT Edgar,,,,,Pakenham,,,,,,,,
22,,,,Philip Webb,,,,,Pakenham,,,,,,,,
23,,,,Bell Real Estate,,582500.0,,,Pakenham,,,,,,,,
24,,,,hockingstuart ,,,,,Pakenham,,,,,,,,
25,,,,Sweeney Estate Agents,,,,,Pakenham,,,,,,,,
26,,,,Brad Teal Real Estate,,,,,Pakenham,,,,,,,,
27,,,,Grant's Estate Agents,,,,,Pakenham,,,,,,,,
28,,,,Barry Plant ,,,,,Pakenham,,,,,,,,
29,,,,Hayeswinckle,,,,,Pakenham,,,,,,,,
30,,,,Harcourts Rata & Co,,,,,Pakenham,,,,,,,,
31,,,,Alex Scott & Staff,,480000.0,,,Pakenham,,,,,,,,
32,,,,Jellis Craig ,,,,,Pakenham,,,,,,,,
33,,,,PRDnationwide,,,,,Pakenham,,,,,,,,
34,,,,PRD Nationwide,,,,,Pakenham,,,,,,,,
35,,,,Miles Real Estate,,,,,Pakenham,,,,,,,,
36,,,,Gary Peer & Associates,,,,,Pakenham,,,,,,,,
37,,,,Love & Co,,,,,Pakenham,,,,,,,,
38,,,,Ray White Oakleigh,,,,,Pakenham,,,,,,,,
39,,,,Morrison Kleeman Estate Agents Greensborough Doreen,,,,,Pakenham,,,,,,,,
40,,,,Landmark Harcourts,,,,,Pakenham,,,,,,,,
41,,,,Ray White ,,,,,Pakenham,,,,,,,,
42,,,,Professionals Methven Group,,,,,Pakenham,,,,,,,,
43,,,,Kay & Burton,,,,,Pakenham,,,,,,,,
44,,,,Jas Stephens Real Estate,,,,,Pakenham,,,,,,,,
45,,,385000.0,First National Real Estate Neilson Partners,,473329.1111111111,545571.4285714285,680000.0,Pakenham,,,420000.0,485000.0,,372500.0,414600.0,
46,,,,Clark NextRE,,,,,Pakenham,,,,,,,,
47,,,,Professionals,,,,,Pakenham,,,,,,,,
48,,,,Ballarat Real Estate,,,,,Pakenham,,,,,,,,
49,,,,Elders Real Estate,,,,,Pakenham,,,,,,,,
50,,,,Ray White,,591523.0,801250.0,822500.0,Berwick,,,,,,,,
51,,,,Barry Plant,478500.0,624347.2222222222,817333.3333333334,1596250.0,Berwick,,,510000.0,,,460666.6666666667,495000.0,
52,,,,None,,,,,Berwick,,,,,,,,
53,,,,hockingstuart,,566166.6666666666,651500.0,,Berwick,,,,,,,,
54,,,,Stockdale & Leggo,,482500.0,588000.0,,Berwick,,,,,,,,
55,,,,Nelson Alexander,,,,,Berwick,,,,,,,,
